,Film,Song,Raga
0,Kagaz ki Nau,Na Jaiyo Re Sautan Ghar Sainya,Abhogi Kanada
1,Kshudista Pashan (Bengali)(Hungry Stones),Tarana,Abhogi Kanada
2,Anpadh,Aap Ki Nazaron Ne Samjha,Adana
3,Arzoo,Ai Dil Mujhe Aisi Jagah Le Chal,Adana
4,Jhanak Jhanak Paayel Baje,Jhanak Jhanak Paayal Baaje,Adana
5,Kaise Kahoon,Manmohan Man Men Ho Tumhi,Adana
6,Beti Bete,Radhike Tune Bansari Churaiye,Adana
7,Meera Shyam,Sanware Mata Ja,Adana
8,Uljhan,Aapne Jeevan Ki Uljhan Ko,ahir_bhairav
9,Hum Dil De Chuke Sanam,Albela Sajan Aayo Re,ahir_bhairav
10,Swami Vivekananda,Chalo Man Jayen Ghar Aapne,ahir_bhairav
11,Haisiyat,Dhire Dhire Subah Hui He Jag Uthi Zindagi,ahir_bhairav
12,(non-film song),"Hamen Koi Gham Nahin Tha, Gham-e-Ashiqi Se Pahle",ahir_bhairav
13,Dastak,"Mai Ri Main, Kaise Jiyun Ri",ahir_bhairav
14,Ram Nagari,Main To Kabse Teri Sharan Men Hun,ahir_bhairav
15,Vijeta,Man Anand Anand Chhayo,ahir_bhairav
16,Dekh Kabira Roya,Meri Vina Tum Bin Roye,ahir_bhairav
17,Meri Surat Teri Aankhen,Puchho Na Kaise Maine Rain Bitai,ahir_bhairav
18,"(non-film song)""Ram Shyam Gun Gaan"" (Album)",Ram Ka Gun Gaan Kariye,ahir_bhairav
19,Ram Teri Ganga Maili,Ram Teri Ganga Maili Ho Gayi...,ahir_bhairav
20,Ek Duje Ke Liye,Sola Baras Ki Baali Umar ko Salam,ahir_bhairav
21,Dil Ne Pukara,Waqt Karta Jo Wafa Aap Hamare Hote,ahir_bhairav
22,Alaap,Zindagi Ko Sanvarana Hoga,ahir_bhairav
23,Bawarchi,"Bhor Ayi, Gaya Andhiyara",Alhiya Bilawal
24,(non-film song),Jana Gana Mana,Alhiya Bilawal
25,Parichay,Sare Ke Sare Ga Ma Ko Lekar Gate Chale,Alhiya Bilawal
26,Thakshak,Khamosh Raat,Anandbhairavi
27,Sapnay,Roshan Huyi Raat,Anandbhairavi
28,Mera Saaya,Tu Jahan Jahan Chalega,Nand
29,Mera Saaya,Tu Jahan Jahan Chalega,Nand
30,Badi Bahen,Chale Jana Nahin Naina Milake,asawari
31,Darr,"Jadoo Teri Nazar, Khusboo Tera Badan",asawari
32,Do Badan,"Lo Aa Gayi Unki Yaad, Wo Nahi Aaye",asawari
33,Aaj Aur Kal,Mujhe Gale Se Laga Lo Bahut Udas Hun Main,asawari
34,Toofan Aur Diya,Piya Te Kaha,asawari
35,Madhumati,"Aja Re, Paradesi",Bageshri
36,Bluff Master,Bedardi Dagabaz Ja Tu Nahin Balma Mora,Bageshri
37,Shahjehan,Chah Barbad Karegi,Bageshri
38,(non-film song),Chaman Men Rang-e-Bahar Utara To Maine Dekha,Bageshri
39,Bezubaan,"Divane Tum, Divane Hum",Bageshri
40,Madhumati,Ghadi Ghadi Mora Dil Dhadke,Bageshri
41,Dekh Kabir Roya,Hamse Aya Na Gaya,Bageshri
42,Private Secretary,"Ja Re, Beiman Tujhe Jan Liya",Bageshri
43,Anarkali,Jaag Dard-e-Ishq Jaag,Bageshri
44,Rangoli,Jao Jao Nand Ke Lala,Bageshri
45,Kshudito Pashan,Kaise Kate Rajani,Bageshri
46,Sangeet Samrat Tansen,Madhura Madhura Sangeet,Bageshri
47,"non film song, from album ""Golden Collection Vol 1""","Maikhana Piye Ja Yunhi, Deewana Piyeja (a.k.a. Mastana Piye Jaa Yoon)",Bageshri
48,,Piya Dekhan Ko Tarsein,Bageshri
49,(non-film song) Aap Ki Pasand (album),Poochhta Jaa Mere Marghat se Guzarne Waley,Bageshri
50,Saath Lakh,Qarar Lootne Wale Qarar Ko Terse,Bageshree
51,Azad,Radha Na Bole Na Bole,Bageshri
52,Insaaf Ki Tope,Shubh Ghadi Aai,Bageshri
53,Chhaaya,Chham Chham Nachat Ayi Bahar,Bahar
54,Shabaab,Man Ki Bin Matavari Baje,Bahar
55,Jai Hanumaan,Re Re Bahar Ayi,Bahar
56,Mamta,Sakal Bana Gagan,Bahar
57,Talash,Khayi Hai Re Hamne Kasam Sang Rahne Ki,Barawa
58,Stree,Basant Hai Aayaa Rangeela,Basant
59,Non Film Song,Lo Phir Basant Aae,Basant
60,Basant Bahar,"Ketaki, Gulab, Juhi Champaka Bana Phule",Basant Bahar
61,Phir Wohi Dil Laya Hoon,Dekho Bijlee Dole,Basant Mukhari
62,Jis Desh Me Ganga Behti Hai,O Basanti Pavan Pagal,Basant Mukhari
63,Haath Ki Safai,Vaadaa Kar Le Saajna,Basant Mukhari
64,Nakhuda,Huq Ali,Bhairagi Bhairav
65,Upahaar,Mein Ek Raja Hun,Bhairagi Bhairav
66,Parde Ke Peeche,Tere Bina Jiya Na Lage,Bhairagi Bhairav
67,Sansar,Amma Roti De,bhairav
68,Gautam Govinda,Ek Ritu Aye Ek Ritu Jaye,bhairav
69,Sanskar,Hanse Tim Tim,bhairav
70,Jagte Raho,"Jaago, Mohan Pyare Jaago",bhairav
71,Musafir,Mana Re Hari Ke Guna,bhairav
72,Baiju Bawra,Mohe Bhul Gaye Sanvariya,bhairav
73,Sur Sangam,Aayo Prabhat,Bhatiyar
74,Ghar Ghar Ki Kahani,Jaya Nandlala,Bhatiyar
