,Thaat,Vadi,Samvadi,Jati,Time of day,Mukhya-Ang,Aaroh-Avroh,Raag,link
0,Kafi,Madhyam,Shadj,Audhav-Audhav,Night," ><b>S R ,D S ; R g m ; g m R S;</b>","S R g m D S - S D m g R g m R S ; R ,D ,D S ;",Abhogi Kanada,http://www.tanarang.com/english/abhogi_eng.htm
1,Asawari,Shadj,Pancham,Shadhav-Sampurna,Night,m P d n S; S d n S ; S d n P ; m P ; g m R S;,S R m P d n S - S d n P ; m P g m R S;,Adana,http://www.tanarang.com/english/adana_eng.htm
2,Bhairav,Madhyam,Shadj,Sampurna-Sampurna,Early Morning,"G m P ; D n D ; P D P ; S n D ; n D P m G m ; G m P m r 
            r S ; ,n ,D ,n r r S",S r G m P D n S - S n D P m G r S,Aheer Bhairav,http://www.tanarang.com/english/aheer-bhairav_eng.htm
3,Bilawal,Dhaivat,Gandhar,Shadhav-Sampurna,Early Morning,G R G P ; D n D P ; m G R ; G P D N S ;,S R G P D N S - S N D P D n D P m G R S;,Alhaiya Bilawal,http://www.tanarang.com/english/alhaiya_eng.htm
4,Kafi,Madhyam,Shadj,Shadhav-Sampurna,Night,",n S m ; S g m ; g R S ; ,n ,D ; m D n D ; m g R S;","S R g m D n S - S n D m P D m g R S; ,n S;",Bageshree,http://www.tanarang.com/english/bageshree_eng.htm
5,Kafi,Madhyam,Shadj,Audhav-Shadhav,Night,S m ; P m g m ; n P m ; m n D N S ; n P m ; P m ; g m R S;,"S R S m P m g m D N S - S n P m g m R S ,N S;",Bahar,http://www.tanarang.com/english/bahaar_eng.htm
6,Bhairav,Madhyam,Shadj,Audhav-Audhav,Early Morning,"m P n P m r ; r P m r S ; ,n S r S ; ",S r m P n S - S n P m r S;,Bairagi,http://www.tanarang.com/english/bairagi_eng.htm
7,Todi,Pancham,Shadj,Audhav-Audhav,Early Morning,",n S r g ; g r ,n ,P ; ,n r S ; ",S r g P n S - S n P g r S;,Bairagi Todi,http://www.tanarang.com/english/bairagi-todi_eng.htm
8,Poorvi,Tar Shadj,Pancham,Audhav-Sampurna,Second Prahar of the Night or Anytime in Spring Season.,M d r S ; N S r N d P ; G M d N M G ; M d G M G ; M G M G r S ;,S G M d N S - S N d P M G M N d M G r S;,Basant,http://www.tanarang.com/english/basant_eng.htm
9,Bhairav,Pancham,Shadj,Sampurna-Sampurna,Late morning,"S r G ; G m ; P m ; P d n d P m ; P m G m ; G r ; r S ; ,n ,d ,n S r ; r G m ; G r S ; G m r S;","S r G m P d n S - S n d P m G r S ,n S ;",Basant Mukhari,http://www.tanarang.com/english/basant-mukhari_eng.htm
10,Bhairav,Dhaivat,Rishabh,Sampurna-Sampurna,Early Morning,"r r S ; d d P ; G m d d P ; G m r r S ; ,N S;",S r G m P d N S - S N d P m G r S;,Bhairav,http://www.tanarang.com/english/bhairav_eng.htm
11,Bhairavi,Madhyam,Shadj,Sampurna-Sampurna,Early Morning,g S r S ; g m P ; d m d n S ; r S d P g m r S;,S r g m P d n S - S n d P m g r S;,Bhairavi,http://www.tanarang.com/english/bhairavi_eng.htm
12,Marwa,Shuddha Madhyam,Shadj,Sampurna-Sampurna,Midnight,S m P ; P G r S ; S D N D ; N P ; D m ; P G ; P G r S ; M D S ;,S r S ; S m ; m D P ; S D ; D N P m ; P G ; M D S  - S r N D P ; D N P m ; P G r S;,Bhatiyar,http://www.tanarang.com/english/bhatiyar_eng.htm
13,Kafi,Shadj,Pancham,Audhav-Sampurna,Din ka Tritiya Prahar," ><b>,n S G m P (S')n ; P (S')n S' ; S' (P)D P ; D m P ; G m R ,n S ;</b>",",n S G m P n S - S n D P m G P m ; G m R S ; ,n S ,P ,n S ;",Bheem,http://www.tanarang.com/english/bheem_eng.htm
14,Kafi,Madhyam,Shadj,Audhav-Sampurna,Afternoon,",n S g m P ; n D P ; S ; n D P ; m g R S;",",n S g m P n S - S n D P m g R S ; ,n S ,P ,n S;",Bheempalasi,http://www.tanarang.com/english/bheempalasi_eng.htm
15,Kalyan,Gandhar,Dhaivat,Audhav-Audhav,Evening,G R G; P G; D P; S D P G; P G R G; G R S;,"S R G P D S - S D P G R S R ,D S;",Bhoopali,http://www.tanarang.com/english/bhoopali_eng.htm
16,Bhairavi,Dhaivat,Gandhar,Audhav-Audhav,1sh Prahar of the day : Din ka Pratham Prahar,"S ,d S r g ; d P g r g r S;","S r g P d S - S d P g r S ,d r S;",Bhupal Todi,http://www.tanarang.com/english/bhupal-todi_eng.htm
17,Kalyan,Gandhar,Nishad,Audhav-Sampurna,Night,",N S G ; G m G ; P M P G m G ; P M G m G R S;","S G m P N S - S N DP M P G m G RS, S N D P M G m G R S;",Bihag,http://www.tanarang.com/english/bihag_eng.htm
18,Bilawal,Gandhar,Shuddha Nishad,Shadhav-Sampurna,Night,S G m P ; m P G (R) S; G m n D P ; G m G ; G m P N S ; S N P ; D n D P ; G m G ; mP mP G (R) S;,S G m P N S - S N (D)P ; P D n D P ; G m G ; P m G (R) S;,Bihagda,http://www.tanarang.com/english/bihagda_eng.htm
19,Bhairavi,Dhaivat,Gandhar,Audhav-Sampurna,Late morning,"S r ,n ,d S ; S r g ; r g P ; P d n d ; d m g r ; g r S ;",S r g P d S - S r n d ; P ; P d n d m g r ; r g r S ;,Bilaskhani Todi,http://www.tanarang.com/english/bilaskhani-todi_eng.htm
20,Not Defined,Madhyam,Shadj,Audhav-Audhav,Night,"S g m g S ,N ; ,N S ; g m d N S; N d S ; N d m g m g S ,N S;","S g m d N S - S N d m g m g S ,N S;",Chandrakauns,http://www.tanarang.com/english/chandra-kauns_eng.htm
21,Not Defined,Shadj,Madhyam,Sampurna-Sampurna,Late morning," ><b>,d ,n S R G m G R ; R G m d P ; R G m R S ;</b>","S R G m P d n S - S n d P m G R S ,d ,n S ;",Charukeshi,http://www.tanarang.com/english/charukeshi_eng.htm
