,Song,Artist
0,Boat To Nowhere,Anoushka Shankar
1,Sandhya Raga by Ravi Shankar,Anoushka Shankar
2,Anoushka Shankar – Lasya,Deutsche Grammophon - DG
3,Anoushka Shankar - Piece 2 Darbari Kannad | Live Coutances France 2014 Rare Footage HD,Alain Guilloux
4,Ravi Shankar - Raag Bihag 1971 (1/4),Alexander Polydoroff
5,Pandit Ravi Shankar (Sitar) - Raga Bageshree,Anirban Bhattacharjee
6,Panchkiran Part5: Raag Deshkar on Sitar by Shri Chandrashekhar Phanse.,chandrashekhar phanse
7,New Kid on the Rock | Dhruv Bedi | Raag Bhimpalasi | Solo Sitar | Music of India,darbarfestival
8,Anoushka Shankar - Crossing the Rubicon,Deutsche Grammophon - DG
9,Anoushka Shankar - Opening,Anoushka Shankar
10,Anoushka Shankar – Traces of You (live in Dortmund),Deutsche Grammophon - DG
11,Anoushka Shankar - Indian Classical Raga,eagle3x8
12,Anoushka Shankar - Voice of the moon | Live Coutances France 2014 Rare Footage HD,Alain Guilloux
13,Anoushka Shankar – Traveller (live at Girona Festival),Deutsche Grammophon - DG
14,Anoushka Shankar – Guru: Raga Jogeshwari - Jod,Deutsche Grammophon - DG
15,Anoushka Shankar - Land of Gold live at Glastonbury 2016.,Himanshu Rai
16,2020 Anoushka Shankar and Gold Panda,GC Rider
17,Anoushka Sankar \u0026 Joshua Bell,H Noori
18,Fantastic Raag Nand | Budhaditya Mukherjee | Sitar \u0026 Tabla | Music of India,darbarfestival
19,Ustad Vilayat Khan \u0026 Ustad  Shujaat Khan-  Bhairavi,Raju Asokan
20,Raag Shyam kalyan by Ustad Shahid Parvez Khan | Hindustani Classical | Bazm e khas,BAZM-E-KHAS
21,The Great Amjad Ali Khan I Raga Adana I Sukhvinder Singh Namdhari Tabla I Sarod Records,Sarod Records
22,Vilayat Khan   Raga Darbari Kanada,rliesky56
23,Raga Darbari Kanhra Ustad Amjad Ali Khan,simplyvipin
24,Raag BAIRAGI on FLUTE by Pt. Hariprasad Chaurasia,Classical Music
25,Shankar: Raga Mohan Kauns - Alap - Jor - Jhala - Gat In Rupaktal [Homage To Mahatma Gandhi],Ravi Shankar - Topic
26,Raga Miyan Ki Malhar | Pandit Ravi Shankar (Album: Tribute To Tansen) | Music Today,Music Today
27,Beautiful Morning Raag Bhatiyar | Mita Nag | Solo Sitar | Music of India,darbarfestival
28,Magical Raag Patdeep | Sahana Banerjee | Solo Sitar | Music of India,darbarfestival
29,Amazing Sarod | Raag Bhimpalasi | Debasmita Bhattacharya | Music of India,darbarfestival
30,Raga Madhuvanti | Pandit Hariprasad Chaurasia (Album: The Last Word In Flute) | Music Today,Music Today
31,Raga Jog  | Hariprasad Chaurasia (Album: Krishnadhwani ) | Music Today,Music Today
32,Raag YAMAN On FLUTE by Pt. Hariprasad Chaurasia,Classical Music
33,Raga Brindabani Sarang | Pandit Hariprasad Chaurasia | (Album: The Last Word In Flute) | Music Today,Music Today
34,Raag JAIJAIVANTI On FLUTE by Pt. Hariprasad Chaurasia,Classical Music
35,Sawhney: The Sun Won't Set (feat. Norah Jones),Anoushka Shankar
36,Buleria Con Ricardo,Anoushka Shankar
37,Remain The Sea,Anoushka Shankar
38,Lasya,Anoushka Shankar
39,Delago,Anoushka Shankar
40,Guru: Raga Jogeshwari - Jod,Anoushka Shankar
41,Si No Puedo Verla,Anoushka Shankar
42,Voice Of The Moon,Anoushka Shankar
43,Flight,Anoushka Shankar
44,Delago: Reunion,Anoushka Shankar
45,Shankar: Pancham Se Gara,Anoushka Shankar
46,Delago: Say Your Prayers,Anoushka Shankar
47,Secret Heart,Anoushka Shankar
48,Dissolving Boundaries,Anoushka Shankar
49,Anoushka Shankar – Land Of Gold (ft. Alev Lenz),Deutsche Grammophon - DG
50,Last Chance,Anoushka Shankar
51,Remain The Sea,Anoushka Shankar
52,Crossing The Rubicon,Anoushka Shankar
53,Say Your Prayers,Anoushka Shankar
54,Reunion,Anoushka Shankar
55,Land Of Gold (Instrumental),Anoushka Shankar
56,Anoushka Shankar   Raga Flamenco,Bijlibaba
57,Anoushka Shankar - \Traveller\ Live @ Festival Les Nuits de Fourviere,Sr.Balanga
58,Guru: Raga Jogeshwari - Alaap,Anoushka Shankar
59,Guru: Raga Jogeshwari - Gat In Rupaktal,Anoushka Shankar
60,Celebration: Raga Manj Khamaj,Anoushka Shankar
