Week,year,India,United states,Hindustani classical music: (Worldwide),Mauritius,Sri Lanka,Trinidad and Tobago,Singapore,United Arab Emirates,Malaysia,Philippines,Pakistan,Indonesia,Netherlands,United Kingdom,Canada,Australia,Sweden,Venezuela,Saudi Arabia,Japan,Germany,Nepal,Qatar,Bangladesh,Vietnam,Thailand,Bolivia,Colombia,Peru,Region,Popularity,Year_map,Country_map,Type_map
05-01-2020,2020,58,63,53,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Odisha,100,2012,India,Countrywise
12-01-2020,2020,60,15,72,0,0,0,0,0,0,48,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Karnataka,76,2012,India,Countrywise
19-01-2020,2020,56,32,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,12,Kerala,46,2012,India,Countrywise
26-01-2020,2020,26,62,62,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,42,2012,India,Countrywise
02-02-2020,2020,66,31,87,0,0,0,0,52,100,0,0,0,0,39,0,34,0,0,100,0,0,0,0,0,0,0,0,0,0,Uttar Pradesh,37,2012,India,Countrywise
09-02-2020,2020,58,15,46,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Bengal,35,2012,India,Countrywise
16-02-2020,2020,32,15,41,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,Tamil Nadu,34,2012,India,Countrywise
23-02-2020,2020,72,30,77,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,Maharashtra,33,2012,India,Countrywise
01-03-2020,2020,46,44,71,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,Andhra Pradesh,31,2012,India,Countrywise
08-03-2020,2020,100,44,93,0,0,0,100,97,0,0,0,37,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Assam,30,2012,India,Countrywise
15-03-2020,2020,87,29,91,0,0,0,0,0,0,52,100,35,0,0,0,64,0,0,95,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,30,2012,India,Countrywise
22-03-2020,2020,57,43,70,0,0,0,0,0,91,0,0,0,0,69,0,0,0,20,0,19,0,0,0,0,0,0,0,0,0,Gujarat,27,2012,India,Countrywise
29-03-2020,2020,55,14,79,0,0,0,0,0,0,0,0,32,0,34,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,Jharkhand,24,2012,India,Countrywise
05-04-2020,2020,63,56,42,0,0,0,0,0,0,0,0,32,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Haryana,23,2012,India,Countrywise
12-04-2020,2020,55,54,61,0,0,0,0,0,0,0,0,100,0,35,0,31,0,0,0,0,92,0,0,0,0,0,37,0,0,Delhi,22,2012,India,Countrywise
19-04-2020,2020,73,40,86,0,0,0,43,45,0,0,0,35,0,35,28,0,0,0,0,0,0,0,91,0,0,0,0,0,0,Chandigarh,9,2012,India,Countrywise
26-04-2020,2020,60,0,63,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,Punjab,7,2012,India,Countrywise
03-05-2020,2020,59,69,55,84,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,New Jersey,100,2012,United States,Countrywise
10-05-2020,2020,47,42,63,0,0,0,0,93,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Washington,66,2012,United States,Countrywise
17-05-2020,2020,37,71,71,0,100,0,0,46,0,0,0,78,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Massachusetts,65,2012,United States,Countrywise
24-05-2020,2020,37,29,53,0,0,0,0,0,0,0,0,0,0,36,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,Arizona,48,2012,United States,Countrywise
31-05-2020,2020,44,0,53,0,0,0,0,43,0,0,0,33,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,California,41,2012,United States,Countrywise
