,Album/Movie,Year
0,Three Ragas ,1956
1,Music of India ,1962
2,Improvisations ,1962
3,In Concert ,1962
4,Ravi Shankar ,1963
5,India's Master Musician ,1963
6,In London ,1964
7,Ragas & Talas ,1964
8,The Master Musicians of India ,1964
9,Portrait of Genius ,1964
10,Ravi Shankar and Ali Akbar Khan ,1965
11,Sound of the Sitar ,1965
12,West Meets East with Yehudi Menuhin ,1967
13,In San Francisco ,1967
14,The Exotic Sitar and Sarod ,1967
15,Two Raga Moods ,1967
16,Live: Ravi Shankar at the Monterey International Pop Festival ,1967
17,A Morning Raga / An Evening Raga ,1968
18,The Sounds of India ,1968
19,In New York ,1968
20,"West Meets East, Volume 2 with Yehudi Menuhin ",1968
21,Music from India serie no.8 ,1968
22,A Sitar Recital ,1968
23,Ravi Shankar Improvisations & theme from Pather Panchali ,1968
24,Ravi Shankar's Festival from India ,1968
25,Ravi Shankar ,1969
26,At the Woodstock Festival ,1969
27,Music of India A Dhun and a Raga with Ali Akbar Khan ,1969
28,Ravi Shankar Raga Parameshwari ,1970
29,Six Ragas ,1970
30,The Exciting Music of Ravi Shankar ,1970
31,Four Raga Moods ,1971
32,PBP Ravi Shankar and PBU Ahmedjan Thirakhwa ,1971
33,Joi Bangla EP ,1971
34,Concerto for Sitar & Orchestra with the London Symphony Orchestra and AndrÃ© Previn ,1971
35,The Concert for Bangladesh ,1971
36,The Genius of Ravi Shankar ,1972
37,Ravi Shankar ,1972
38,Ravi Shankar Ragas ,1972
39,The Masters of Indian Music ,double album with Ali Albar Khan
40,In Concert 1972 with Ali Akbar Khan ,1973
41,Ragas with Ali Akbar Khan â€“ contains The Master Musicians of India ,released as a double album in 1973
42,Shankar Family & Friends ,2010
43,Ravi Shankar's Music Festival from India ,2010
44,Improvisations â€“ West Meets East 3 â€“ with Yehudi Menuhin and Jean-Pierre Rampal ,1976
45,Ravi Shankar ,1979
46,Shankar in Japan ,1979
47,Jazzmine ,1980
48,The Spirit of India ,"Deutsche Grammophon, 1980"
49,Homage to Mahatma Gandhi ,1981
50,Raga-Mala ,1982
51,Raga Mishra Piloo: duet for sitar & sarod ,1983
52,Pandit Ravi Shankar ,1986
53,Tana Mana ,1987
54,Ravi Shankar: the Doyen of Hindustani Music ,1988
55,Inside the Kremlin ,1988
56,Passages with Philip Glass ,Atlantic Records
57,Concert for Peace: Royal Albert Hall ,1995
58,Genesis ,1995
59,Towards the Rising Sun ,1996
60,Ravi Shankar: In Celebration ,1996
61,Chants of India ,2010
62,Raga Tala ,1997
63,Shankar: Sitar Concertos and Other Works ,1998
64,Shankar: Raga Jogeshwari ,1998
65,Vision of Peace: The Art of Ravi Shankar ,2000
66,Full Circle: Carnegie Hall 2000 ,2001
67,Between Two Worlds ,2001
68,Flowers of India ,2007
69,More Flowers of India ,2008
70,"Collaborations box set, with George Harrison ",2010
71,Symphony with London Philharmonic Orchestra and David Murphy ,2012
72,The Living Room Sessions Part 1 ,2012
73,The Living Room Sessions Part 2 ,2013
74,A Night at St. John the Divine ,2014
75,"In Hollywood, 1971 ",2016
